vertex1,vertex2,weight, TotalNumOfvertices
1,12,480,16
12,15,4000,16
15,16,4000,16
1,10,640,16
2,10,2720,16
3,7,720,16
7,10,1520,16
7,11,320,16
11,10,4000,16
4,8,1280,16
5,8,4000,16
8,9,4000,16
6,9,1680,16
9,11,4000,16
10,14,4000,16
14,13,4000,16
13,12,4000,16
